,0,1,2,3,4,5
gene-expression,0.1084564290671161,0.0088595882489012,0.0095282156350858,0.0075564808389235,0.0062610841236795,0.0060903473117213
mixed,0.5787526298976681,0.4458720244979783,0.448924358084663,0.5849322009627347,0.6261822147318326,0.3970071489155454
spatial,0.4975821464371079,0.4975821464371079,0.4975821464371079,0.4975821464371079,0.4975821464371079,0.4975821464371079
