,paste,scanorama
0.1,104.04503265433897,272.9827181579521
1.0,135.25176202456996,269.03933294783536
2.0,132.77780555485847,265.7848003797646
3.0,143.07636664562085,263.94150558198686
4.0,137.53168041544086,256.2956055259996
5.0,142.30256344940884,270.304136740112
