,paste,scanorama
0.1,104.56469196617117,278.1969739528976
1.0,108.05594895243763,280.933244484087
2.0,136.71203667292744,276.5093097899947
3.0,137.7679349368951,279.5610867361495
4.0,134.12730971845653,273.8764826069117
5.0,135.03895305740227,279.33409882623096
