,0.0,0.001,0.01,0.1,1.0
Original,0.2068405595769059,0.5043244741780605,0.5559272257561364,0.5510894201944874,0.5478494918476287
Horizontal,0.2068405595769059,0.5043244741780605,0.5559272257561364,0.5510894201944874,0.5478494918476287
Vertical,0.2068405595769059,0.5043244741780605,0.5559272257561364,0.5510894201944874,0.5478494918476287
