,Sample,Pair,kind,time,accuracy,init,alpha,type
32,I,CD,init,73.3285481929779,0.8695511684098578,,,init
33,I,CD,PASTE,55.88330864906311,0.5657921732493414,False,1e-05,1e-05 False
34,I,CD,PASTE,77.70206308364868,0.5911967092494999,True,1e-05,1e-05 True
35,I,CD,PASTE,146.32069396972656,0.7863300400171106,False,0.001,0.001 False
36,I,CD,PASTE,79.27145195007324,0.7744571059595863,True,0.001,0.001 True
37,I,CD,PASTE,33.843510150909424,0.2469924390292498,False,0.1,0.1 False
38,I,CD,PASTE,98.69655585289,0.8700639038184611,True,0.1,0.1 True
39,I,CD,PASTE,33.042343854904175,0.2469924390292498,False,0.9,0.9 False
40,I,CD,PASTE,120.61434292793274,0.8740647958170326,True,0.9,0.9 True
41,I,CD,PASTE,54.04758095741272,0.2842846028618371,False,0.999,0.999 False
42,I,CD,PASTE,121.06036925315856,0.8729598057473856,True,0.999,0.999 True
43,I,CD,PASTE,54.61017394065857,0.2789285171961291,False,0.99999,0.99999 False
44,I,CD,PASTE,55.01427888870239,0.8694228367101251,True,0.99999,0.99999 True
45,II,AB,uniform,0.0,0.4102435053972106,,,uniform
46,II,AB,maximal,0.0,0.9292984869325996,,,maximal
47,II,AB,init,55.01427888870239,0.9025389186463216,,,init
48,II,AB,PASTE,39.96011281013489,0.6975820066892011,False,1e-05,1e-05 False
49,II,AB,PASTE,39.223252058029175,0.6979417812831132,True,1e-05,1e-05 True
50,II,AB,PASTE,51.49392485618591,0.8488782417724784,False,0.001,0.001 False
51,II,AB,PASTE,40.591861963272095,0.8495776499018067,True,0.001,0.001 True
52,II,AB,PASTE,839.4070987701416,0.915010735974029,False,0.1,0.1 False
53,II,AB,PASTE,760.5676798820496,0.915010735974029,True,0.1,0.1 True
54,II,AB,PASTE,1273.5936040878296,0.9129778318032112,False,0.9,0.9 False
55,II,AB,PASTE,633.1979598999023,0.9129778318032112,True,0.9,0.9 True
56,II,AB,PASTE,2067.688320875168,0.4134633892820329,False,0.999,0.999 False
57,II,AB,PASTE,652.7838129997253,0.9131743453464926,True,0.999,0.999 True
58,II,AB,PASTE,31.79687786102295,0.4352174701171852,False,0.99999,0.99999 False
59,II,AB,PASTE,639.6424248218536,0.9131743453464926,True,0.99999,0.99999 True
60,II,BC,uniform,0.0,0.3485747980204934,,,uniform
61,II,BC,maximal,0.0,0.7886119257086999,,,maximal
62,II,BC,init,639.6424248218536,0.5933623557404483,,,init
63,II,BC,PASTE,36.59641408920288,0.5564966578344923,False,1e-05,1e-05 False
64,II,BC,PASTE,78.54433608055115,0.5766439505499266,True,1e-05,1e-05 True
65,II,BC,PASTE,82.83406186103821,0.6193513866682137,False,0.001,0.001 False
66,II,BC,PASTE,40.51654601097107,0.6123182731709834,True,0.001,0.001 True
67,II,BC,PASTE,158.42028999328613,0.5952386665689962,False,0.1,0.1 False
68,II,BC,PASTE,51.65627789497376,0.5913877459263781,True,0.1,0.1 True
69,II,BC,PASTE,117.14776706695557,0.5440288944289947,False,0.9,0.9 False
70,II,BC,PASTE,86.03574395179749,0.5922503353110972,True,0.9,0.9 True
71,II,BC,PASTE,622.4114360809326,0.3318382204978874,False,0.999,0.999 False
72,II,BC,PASTE,38.362961292266846,0.5915047785515374,True,0.999,0.999 True
73,II,BC,PASTE,343.773423910141,0.4297560080255778,False,0.99999,0.99999 False
74,II,BC,PASTE,37.5297122001648,0.5912732391852152,True,0.99999,0.99999 True
75,II,CD,uniform,0.0,0.2809161155561994,,,uniform
76,II,CD,maximal,0.0,0.9042033235581622,,,maximal
77,II,CD,init,37.5297122001648,0.8631302571714757,,,init
78,II,CD,PASTE,39.71619319915772,0.6167748271242895,False,1e-05,1e-05 False
79,II,CD,PASTE,100.16937017440796,0.6346906942785074,True,1e-05,1e-05 True
80,II,CD,PASTE,104.15940117836,0.8108444058264844,False,0.001,0.001 False
81,II,CD,PASTE,57.2660768032074,0.8087619021758794,True,0.001,0.001 True
82,II,CD,PASTE,24.18933606147766,0.2809161155561995,False,0.1,0.1 False
83,II,CD,PASTE,671.969731092453,0.8617386529572908,True,0.1,0.1 True
84,II,CD,PASTE,53.373998165130615,0.3388469521982069,False,0.9,0.9 False
85,II,CD,PASTE,1330.4509508609772,0.8618238840013034,True,0.9,0.9 True
86,II,CD,PASTE,50.34503507614136,0.3242535872464185,False,0.999,0.999 False
87,II,CD,PASTE,1014.8180270195008,0.8619234459288226,True,0.999,0.999 True
88,II,CD,PASTE,53.05669808387756,0.3192875589828987,False,0.99999,0.99999 False
89,II,CD,PASTE,1057.5154287815094,0.8619234459288232,True,0.99999,0.99999 True
90,III,AB,uniform,0.0,0.1745804219645231,,,uniform
91,III,AB,maximal,0.0,0.9317744154057772,,,maximal
92,III,AB,init,1057.5154287815094,0.8553711588120867,,,init
93,III,AB,PASTE,75.25260806083679,0.531916957089317,False,1e-05,1e-05 False
94,III,AB,PASTE,45.52381992340088,0.5266996724436318,True,1e-05,1e-05 True
95,III,AB,PASTE,96.35013365745544,0.7582023749074878,False,0.001,0.001 False
96,III,AB,PASTE,42.046432971954346,0.7595699675110148,True,0.001,0.001 True
97,III,AB,PASTE,25.00419020652771,0.174580421964523,False,0.1,0.1 False
98,III,AB,PASTE,478.11977767944336,0.858728164019698,True,0.1,0.1 True
99,III,AB,PASTE,43.02691197395325,0.402111612957047,False,0.9,0.9 False
100,III,AB,PASTE,273.8623790740967,0.8564612103396481,True,0.9,0.9 True
101,III,AB,PASTE,50.00977396965027,0.3544579702018556,False,0.999,0.999 False
102,III,AB,PASTE,267.7902946472168,0.8562806524615166,True,0.999,0.999 True
103,III,AB,PASTE,38.81182289123535,0.3521027945712268,False,0.99999,0.99999 False
104,III,AB,PASTE,276.8881840705872,0.8562769955930988,True,0.99999,0.99999 True
105,III,BC,uniform,0.0,0.1663196118623001,,,uniform
106,III,BC,maximal,0.0,0.9213204951856946,,,maximal
107,III,BC,init,276.8881840705872,0.8290505392130079,,,init
108,III,BC,PASTE,57.82636523246765,0.5675399096310024,False,1e-05,1e-05 False
109,III,BC,PASTE,72.27388024330139,0.5668608692365075,True,1e-05,1e-05 True
110,III,BC,PASTE,75.5155041217804,0.7515682654691591,False,0.001,0.001 False
111,III,BC,PASTE,56.127716064453125,0.7488426149149793,True,0.001,0.001 True
112,III,BC,PASTE,518.1682457923889,0.8281769362333155,False,0.1,0.1 False
113,III,BC,PASTE,465.3955352306366,0.8281769362333155,True,0.1,0.1 True
114,III,BC,PASTE,572.723130941391,0.8255530414483181,False,0.9,0.9 False
115,III,BC,PASTE,474.0321781635285,0.8255530414483181,True,0.9,0.9 True
116,III,BC,PASTE,32.00294804573059,0.3102010351470122,False,0.999,0.999 False
117,III,BC,PASTE,423.10378074646,0.8256349706574696,True,0.999,0.999 True
118,III,BC,PASTE,31.435760259628296,0.3194443780130378,False,0.99999,0.99999 False
119,III,BC,PASTE,416.51360511779785,0.8256349706574696,True,0.99999,0.99999 True
120,III,CD,uniform,0.0,0.1659149129060315,,,uniform
121,III,CD,maximal,0.0,0.9206393718452048,,,maximal
122,III,CD,init,416.51360511779785,0.8406006042037372,,,init
123,III,CD,PASTE,39.70646095275879,0.5350330111796203,False,1e-05,1e-05 False
124,III,CD,PASTE,39.25437331199646,0.5426110585204093,True,1e-05,1e-05 True
125,III,CD,PASTE,75.58210492134094,0.7409442591736887,False,0.001,0.001 False
126,III,CD,PASTE,40.261297941207886,0.7426374419633788,True,0.001,0.001 True
127,III,CD,PASTE,357.69683384895325,0.8284708408194116,False,0.1,0.1 False
128,III,CD,PASTE,297.8558671474457,0.8284708408194116,True,0.1,0.1 True
129,III,CD,PASTE,385.24255895614624,0.8268754925440702,False,0.9,0.9 False
130,III,CD,PASTE,357.58444809913635,0.8268754925440702,True,0.9,0.9 True
131,III,CD,PASTE,30.605979204177856,0.330810041989562,False,0.999,0.999 False
132,III,CD,PASTE,402.8738980293274,0.8268351981283852,True,0.999,0.999 True
133,III,CD,PASTE,32.30104184150696,0.3277269879245902,False,0.99999,0.99999 False
134,III,CD,PASTE,396.7529859542847,0.8268351981283852,True,0.99999,0.99999 True
135,I,AB,Seurat,0.0,0.6757291151754864,False,0.0,
136,I,BC,Seurat,0.0,0.5897069073034713,False,0.0,
137,I,CD,Seurat,0.0,0.7027336664226811,False,0.0,
138,II,AB,Seurat,0.0,0.7506424637976744,False,0.0,
139,II,BC,Seurat,0.0,0.6995000233633933,False,0.0,
140,II,CD,Seurat,0.0,0.7519908593587727,False,0.0,
141,III,AB,Seurat,0.0,0.7511571722098057,False,0.0,
142,III,BC,Seurat,0.0,0.7217899335625491,False,0.0,
143,III,CD,Seurat,0.0,0.7058142526369973,False,0.0,
144,I,AB,Tangram,0.0,0.2876519560813904,False,0.0,
145,I,BC,Tangram,0.0,0.3154986798763275,False,0.0,
146,I,CD,Tangram,0.0,0.3727569878101349,False,0.0,
147,II,AB,Tangram,0.0,0.5230404734611511,False,0.0,
148,II,BC,Tangram,0.0,0.4318663477897644,False,0.0,
149,II,CD,Tangram,0.0,0.4094056487083435,False,0.0,
150,III,AB,Tangram,0.0,0.3187524676322937,False,0.0,
151,III,BC,Tangram,0.0,0.3305085003376007,False,0.0,
152,III,CD,Tangram,0.0,0.2913026213645935,False,0.0,
