,sample,pair,kind,time,accuracy,init,alpha
0,0,0,PASTE-norm-genes,2646.7391180992126,0.1861000206716893,False,0.1
1,0,1,PASTE-norm-genes,3140.2296500206,0.2081957280631343,False,0.1
2,0,2,PASTE-norm-genes,3680.7158448696136,0.2469924390292498,False,0.1
3,1,0,PASTE-norm-genes,2008.826959848404,0.8924713908111788,False,0.1
4,1,1,PASTE-norm-genes,2280.8660719394684,0.5974071379797788,False,0.1
5,1,2,PASTE-norm-genes,2576.342206954956,0.2809161155561995,False,0.1
6,2,0,PASTE-norm-genes,2275.317526102066,0.174580421964523,False,0.1
7,2,1,PASTE-norm-genes,2173.595016002655,0.8208445034526853,False,0.1
8,2,2,PASTE-norm-genes,1984.135043144226,0.8201199253351916,False,0.1
9,0,0,PASTE-hv-genes,150.24980902671814,0.1861000206716893,False,0.1
10,0,1,PASTE-hv-genes,169.63289093971252,0.2081957280631343,False,0.1
11,0,2,PASTE-hv-genes,181.8482961654663,0.2469924390292498,False,0.1
12,1,0,PASTE-hv-genes,83.4170241355896,0.4102435053972106,False,0.1
13,1,1,PASTE-hv-genes,121.0943250656128,0.597893160158724,False,0.1
14,1,2,PASTE-hv-genes,117.91903281211852,0.2809161155561995,False,0.1
15,2,0,PASTE-hv-genes,88.13562822341919,0.174580421964523,False,0.1
16,2,1,PASTE-hv-genes,83.59274196624756,0.1663196118623001,False,0.1
17,2,2,PASTE-hv-genes,155.76516389846802,0.822256101498126,False,0.1
18,0,0,PASTE-hv-genes,201.13863897323608,0.8060823469185638,True,0.1
19,0,1,PASTE-hv-genes,223.10545802116397,0.2221081946497089,True,0.1
20,0,2,PASTE-hv-genes,300.0836198329925,0.8621518291839116,True,0.1
21,1,0,PASTE-hv-genes,189.6731150150299,0.9025744616907232,True,0.1
22,1,1,PASTE-hv-genes,134.43116521835327,0.5928011885126137,True,0.1
23,1,2,PASTE-hv-genes,169.35562014579773,0.8541432846988403,True,0.1
24,2,0,PASTE-hv-genes,159.23662281036377,0.833663987883582,True,0.1
25,2,1,PASTE-hv-genes,189.76169991493225,0.8130735719669496,True,0.1
26,2,2,PASTE-hv-genes,173.73609375953674,0.8221292517351602,True,0.1
27,0,0,PASTE-norm-genes,327.58213114738464,0.8100808576911142,True,0.1
28,0,1,PASTE-norm-genes,422.8819661140442,0.22564829271490533,True,0.1
29,0,2,PASTE-norm-genes,432.1162848472595,0.8535510122828124,True,0.1
30,1,0,PASTE-norm-genes,234.91641497612,0.8948240244125469,True,0.1
31,1,1,PASTE-norm-genes,269.935026884079,0.5956324939820786,True,0.1
32,1,2,PASTE-norm-genes,316.564013004303,0.8557528691937304,True,0.1
33,2,0,PASTE-norm-genes,307.46193075180054,0.8381442611735491,True,0.1
34,2,1,PASTE-norm-genes,320.47444200515747,0.823790560551635,True,0.1
35,2,2,PASTE-norm-genes,289.88778376579285,0.8200570725853703,True,0.1
