,Slice A,Slice B,Slice C
SCC-clusters-patient2-down-1-rep-1.csv,-33.96304707769102,-36.24499585125033,-37.00618692441374
SCC-clusters-patient2-down-1-rep-2.csv,-40.26531773050593,-36.891619688198546,-36.58106010213964
SCC-clusters-patient2-down-1-rep-3.csv,-34.91729963534802,-46.98334238469477,-41.97278097338488
SCC-clusters-patient2-down-1-rep-4.csv,-50.182995726539595,-50.96526948041583,-53.65518376519774
SCC-clusters-patient2-down-1-rep-5.csv,-35.51888636080093,-35.001999171743556,-29.70407932537081
