,Slice A,Slice B,Slice C
SCC-clusters-patient2-down-0.5-rep-1.csv,-47.253036326496904,-40.30102045492784,-41.066463498706
SCC-clusters-patient2-down-0.5-rep-2.csv,-34.478654209983596,-36.17218777151526,-38.503998888146654
SCC-clusters-patient2-down-0.5-rep-3.csv,-31.607383272436717,-36.28812884627614,-34.68104546597795
SCC-clusters-patient2-down-0.5-rep-4.csv,-41.63642722588198,-36.54658617263674,-40.71208459737638
SCC-clusters-patient2-down-0.5-rep-5.csv,-45.25244690475943,-39.719660415341345,-45.16501536716481
