,Slice A,Slice B,Slice C
SCC-clusters-patient2-down-0.1-rep-1.csv,-15.407452698622745,-20.024466489503467,-22.312337598084365
SCC-clusters-patient2-down-0.1-rep-2.csv,-12.291089955956279,-14.637660675346638,-15.63646231555805
SCC-clusters-patient2-down-0.1-rep-3.csv,-20.459225892543145,-18.049342000164792,-24.095966355706366
SCC-clusters-patient2-down-0.1-rep-4.csv,-11.04293105098514,-12.852309749499769,-16.26144636461183
SCC-clusters-patient2-down-0.1-rep-5.csv,-9.737117269834185,-13.298557042532437,-14.216318118199325
