,Slice A,Slice B,Slice C
SCC-clusters-patient2-down-0.3-rep-1.csv,-25.93362784995746,-27.86855355912721,-31.77164280660167
SCC-clusters-patient2-down-0.3-rep-2.csv,-37.168885458996684,-34.17718069031886,-39.689264190777784
SCC-clusters-patient2-down-0.3-rep-3.csv,-44.07468974396849,-44.71358187991047,-45.98922855223477
SCC-clusters-patient2-down-0.3-rep-4.csv,-28.49680105578432,-27.773444026590898,-26.20216434134472
SCC-clusters-patient2-down-0.3-rep-5.csv,-34.89724983887587,-31.669524404252932,-32.32708020725962
