,Slice A,Slice B,Slice C
SCC-clusters-patient2-down-0.7-rep-1.csv,-42.693435031604174,-42.34588609117458,-42.95346653156989
SCC-clusters-patient2-down-0.7-rep-2.csv,-42.98570091364207,-40.98207906328327,-45.16570777021796
SCC-clusters-patient2-down-0.7-rep-3.csv,-32.23748907116002,-36.057176927036835,-34.0568577504951
SCC-clusters-patient2-down-0.7-rep-4.csv,-39.84999177663807,-38.18247680068545,-38.53365217673872
SCC-clusters-patient2-down-0.7-rep-5.csv,-39.655547923605546,-46.56754454676269,-39.72480856782383
